a	art.一(个) 每
fridge	n.电冰箱
friend	n.朋友 友人 赞助者 支持者 vt.做朋友 对人友好
friendly	adj.友好的 友谊的 adv.友好地 n.友好者
friendship	n.友谊 友好
frighten	vt.使惊恐 吓唬 惊恐
frog	n.蛙 马的蹄叉 刀剑的挂环
from	prep.从...来 离开
front	adj.前面的 n.前部 前面 开头 前线 vt.面对 朝向 对付 vi.面朝 做掩护
frontier	n.边境 边界 边疆 新领域 尖端 边缘
frost	n.冰冻 严寒 霜 冷漠 vt. & vi.覆着霜 冻结 结霜
frown	vt. & vi.皱眉 蹙额 不同意 n.皱眉 不悦
fruit	n.水果 果实 成果 vt. & vi.结果实
fruitful	adj.多产的 肥沃的 富有成效的
fry	vt.油煎 油炸 油炒 炸焦 vi.油炸 烧焦 n.(美)法式炸薯条
fuel	n.燃料 木炭 vt.给...加燃料 vi.加燃料
fulfil	vt.履行 满足 完成 实践 使应验
full	adj. 满的 完全的 充满的 丰富的 adv. 完全地 整整 vt.使...充满 通过缩水、捶打或熨烫增加(布料的)重量和厚度 vi.增厚 n. 全部 十分 极点 鼎盛
fun	n.乐趣 娱乐 玩笑 有趣的人或事物 vi.开玩笑 adj.充满乐趣的 令人愉悦的
function	n.功能 职务 函数 重大聚会 vi.运行 起作用
fund	n.资金 基金 存款 储备 vt.为...提供资金
fundamental	adj.基础的 基本的 根本的 重要的 n.基本原理 基础
funeral	n.葬礼 丧礼 丧葬 adj.葬礼(的)
funny	adj.古怪的 滑稽的 有趣的 莫名其妙的 n.笑话 (the funny)滑稽戏
fur	n.软毛 毛皮 裘皮 毛皮服饰 毛皮制品 vt.用毛皮制作 用毛皮盖于 vi.用毛皮制的

单词	释义
furious	adj.狂怒的 狂暴的 猛烈的
furnace	n.炉子 熔炉 鼓风炉 闷热地带 严峻考验
furnish	vt.供应 提供 装备 布置
furniture	n.家具 装置 设备
further	adv.更远地 此外 进一步地 adj.更远的 v.促进 推动 vt.促进
furthermore	adv.而且 此外
future	n.将来 未来 前途 前程 期货 adj.将来的
gain	vt.获得 得到 增进 增加 vi.增加 得到 (钟 表等)走得快 n.增进 增益 获得 利润
gallery	n.长廊 游廊 画廊 美术馆 顶层楼座 狭长的房间
gallon	n.加仑(容量单位)
game	n.游戏 比赛 猎物 行业 非法手段 策略 野味 戏弄 vi.赌博 vt.欺骗 adj.乐意做的 勇敢的 跛的
gang	n.一帮 一伙 队 群 帮 vt. & vi.结一组 联合在一起
gap	n. 缺口 间隔 差距 (意见、个性等的)差异 缝隙 漏洞 vt. 制造缺口 嘉普 ( 财富500强公司之一 总部所在地美国 主要经营服装零售)
garage	n.车库 加油站 汽车修理厂vt.把...放入车库
garbage	n.垃圾 污物 废料 废物 食物残渣
garden	n. 花园 菜园 果园 菜园 草地 公园 vi. 栽培花木 从事园艺工作 vt. 造园 以花园装饰 adj. 花园的 园艺的 绿化的 平凡的
gardener	n.园丁 花匠 园艺家
gas	n.煤气 气体 汽油 空话 能量 vt.使吸入毒气 死 给...加汽油 vi.空谈 加汽油
gaseous	adj.气体的 气态的
gasoline	n.(美)汽油
gasp	vi.气喘 喘息 v.喘气 喘息 渴望
gate	n.大门 入口 篱笆门 vt.<英>惩罚(禁止学生离校) 解雇 n.<古>道路 <方>方式 suf.常表示政治丑闻
gather	vi.聚集 集合 渐增 vt.收集 使聚集 推断 鼓起 n.集合 聚集
gauge	vt.量 测量 估计 判断 n.测量标准 轨距 口径 直径 测量仪器
gay	adj.快乐的 欢快的 鲜明的 色彩鲜艳的 同性恋的 n.同性恋
gaze	vi.凝视 盯 注视 n.凝视
general	adj.总的 一般的 普遍的 全体的 n.将军 一般 大体
generally	adv.一般地 通常地
generate	vt.发生 产生 引起 生殖 [计算机] 产生
generation	n.一代 一代人 产生
generator	n.发电机 发生器 发生者
generous	adj.慷慨的 宽厚的 宽宏大量的 丰盛的 味浓的
genius	n.天才 天赋 天资 高智力
gentle	adj. 和蔼的 轻柔的 显赫的 温和的 文雅的 有教养的 n. 贵族 vt. 使显赫 使温顺 抚摸 使缓和 vi. 变温顺
gentleman	n.绅士 先生 有教养的人
gently	ad.有礼貌地 柔和地 轻轻地 温柔地
genuine	adj.真的 真正的 真实的 诚恳的
geography	n.地理 地理学
geometry	n.几何 几何学

单词	释义
germ	n.微生物 细菌 幼芽
German	adj.德国(人)的 德语的 日耳曼的 n.德国人 德语 日耳曼人
Germany	n.德意志 德国
gesture	n.姿势 手势 姿态 vt. & vi.作手势表达
get	vi. 变得 成为 到达 致富 能够 离开 vt. 得到 准备 抓住 克服 激怒 使得 记忆 沟通 n. 生育 后代 救球
ghost	n.鬼 灵魂 幽灵 鬼魂 一丝 vt. & vi.像(鬼一样)地行进
giant	n.巨人 伟人 巨大的东西 adj.巨大的
gift	n.礼物 赠品 天赋 赋予 vt.赠送 赋予
girl	n.女孩子 姑娘 女儿
give	vt.做 作 送给 vi.让步 塌下 折断 弯曲
glad	adj.高兴的 乐意的 v.<古>使高兴 n.剑兰
glance	vi.看一下 瞥闪 瞥见 反光 浏览 vt.瞥见 反光 n.一瞥 闪光一滑
glare	vi.瞪眼 发眩光 n.瞪眼 闪耀光 刺眼
glass	n. 玻璃 玻璃杯 玻璃器皿 窗户 (复)眼镜 透镜 vt. 用玻璃把…盖(或罩、围)住 给...装上玻璃 使成玻璃状 反映 反射 审视vi. 成为玻璃状 用光学仪器眺望
glide	vi.滑动 滑翔 溜走 消逝 n.滑行 滑动 滑过 流水
glimpse	vt. &vi.瞥见 一瞥 闪烁 n.一瞥 一看 一闪
glitter	vi.闪闪发光 灿烂 闪烁 辉耀 n.闪光 灿烂 闪烁 辉耀
globe	n.地球 世界 地界仪 球体
gloomy	adj.黑暗的 阴暗的 令人沮丧的 抑沉的 忧闷的
glorious	adj.光荣的 壮丽的 辉煌的
glory	n.光荣 荣誉 壮丽 赞颂 荣誉的事 vi.为...而骄傲自豪 interj.用于表示惊叹
glove	n.手套 vt.给...戴手套
glow	n.白热光 赤热 光辉 热情 vi.发白热光 发红光 红光焕发
glue	n.胶 胶水 粘性之物 vt.胶合 粘 紧附于...
go	vi.去 走 变为 进行 放 通往 消失 vt.走过 称重 [计算机]执行
goal	n.球门 得分 目的 终点
goat	n.ft羊 好色之徒 替罪羔羊
God	n.神 神像 上帝 偶像 vt.像对神一样崇拜
gold	n.金 金子 金币 金黄色 金牌 钱财 adj.金制的 金色的
golden	adj.金(黄)色的 极好的
golf	n.高尔夫球 v.打高尔夫球 vi.(打)高尔夫球
good	adj.好的 优良的 上等的 有本事的 n.善行 好处 [pl.] 商品
goodbye	int.再见 再会 n.说再见
goodness	n.优良 德性 仁慈 善良 美德 精华 int.天哪
goods	n.货物 商品
goose	n.鹅 雌鹅 鹅肉 vt.推动
govern	vt.统治 治理 支配 管理 规定 vi.统治 执行
government	n.政府 政体 统治 治理 政治
governor	n.州长 主管人员 统治者 管理者 理事
gown	n.长袍 长外衣
grace	n.优美 文雅 雅致 魅力 恩惠 慈悲 vt.使荣耀 装饰

单词	释义
graceful	adj.优美的 优雅的
gracious	adj.有礼貌的 仁慈的 亲切的 高尚的
grade	vt. & vi.给...分等级 记成绩 n.等级 年级 阶段
gradual	adj.逐渐的 渐进的
gradually	adv.逐渐地 逐步地
graduate	n. 毕业生 vi. 大学毕业 获学位 逐渐变得 vt. 毕业 (在表、计、尺上)刻 [分] 度 定等级 adj. 毕业的 获得学位的
grain	n.谷物 谷粒 颗粒 细粒 纹理 vt.用谷物喂养 形成颗粒
gramme	n.克(重量单位) =gram
grammar	n.语法 语法书
grammatical	adj.语法上的 合乎文法的
grand	adj.宏伟的 重大的 豪华的 壮丽的 主要的 n.大钢琴
granddaughter	n.孙女 外孙女
grandfather	n.祖父 外祖父
grandmother	n.祖母 外祖母
grandson	n.孙子 外孙子
grant	n.授给物 补助金 同意 给予 财产转让 vt.授予 同意 承认
Grant	n.格兰特(男子名)
grape	n.葡萄 葡萄藤 [色彩]深紫色 [军事]葡萄弹
graph	n.(曲线)图 图表 vt.以(曲线)图表示
grasp	vt.抓紧 抓住 紧握 掌握 领会 n.抓 把握 抓紧 领会
grass	n.草 牧草 草地 vt.以牧草喂养 覆盖着草
grateful	adj.感激的 感谢的 令人愉快的
gratitude	adj.感激 感谢 感恩 n.感恩之心
grave	n.坟墓 沉音符 adj.严肃的 严重的 低沉的 adv.缓慢庄严的 vt.凿
gravity	n.重力 引力 严重性 严重 庄重 严肃
gray	adj.灰色的 阴沉的 黯淡的 n.灰色 v.变灰色 [Gray] 格雷(男子名)
great	adj.大的 伟大的 大量的 很好的 美好的 重要的 adv.(口语)好极了
greatly	adv.大大地 非常 很
greedy	adj.贪吃的 贪婪的
Greek	adj.希腊(人)的 n.希腊人 希腊语
green	adj.绿色的 长满绿草的 温和的 未成熟的 n.绿色 vt. & vi.变得绿
greenhouse	n.温室 玻璃暖房
greet	vt.问候 招呼 反应 致敬 欢迎 映入眼帘
greeting	n.问候 招呼 致敬
grey	adj.灰色的 n.灰色 vi.变成灰色 =gray
grieve	vt.使悲痛 vi.悲痛
grind	vt.磨(碎) 碾 磨快 挤摩擦声 无聊的苦工作 vt.磨 碾 挤压摇动手柄 vi.磨擦 磨碎 用功
grip	vt.握紧 抓牢 吸引 n.紧握 了解 手柄 手提包
groan	vi.哼 呻吟 n.呻吟
grocer	n.食品商 杂货商
grocery	n.食品杂货店
gross	adj.总的 粗鲁的 严重的 过胖的 n.总量 vt.总共赚得

单词	释义
ground	n.土地 战场 场地 根据 背景 vt.放在地上 使...搁浅 打基础 grind的过去式和过去分词
group	n.小组 群 团 团体 vt. & vi.聚合 成群 聚集 [计算机] 成组
grow	vt. & vi.生长 变得 变成 增长 种植 逐渐开始
growth	n.增长 增长量 生长 生长物
guarantee	n.保证(书) 担保(书) 担保人 担保物 抵押品 vt.保证 担保
guard	vt. & vi.守卫 看守 保卫 警惕 n.卫兵 守卫者 警戒 护卫队保护
guess	vt. &vi. &n.猜测 推测 猜想
guest	n.客人 宾客 旅客 客串演员 特邀来宾 vt.款待 vi.作客
guidance	n.引导 指导 领导 导航系统
guide	n.导游者 领路者 指南 路标 vt.给...导游 领路 指导 vi.作导游
guilty	adj.内疚的 有罪的
gulf	n.海湾
gum	n.口香糖 树胶 橡皮(糖) 齿龈 粘性物质 牙床 vt.搞砸 用牙床嚼 以树胶粘合 vi.形成胶质 发粘
gun	n.枪 炮 手枪
gunpowder	n.黑色火药 有烟火药
gymnasium	n. 体育馆 健身房 n. (德国等培养学生升入大学的)大学预科高级中学 (复数) gymnasia 或 gymnasiums
habit	n.习惯 习性 隐 长袍 vt.穿衣
habitual	adj.习惯性的 惯常的
hair	n.头发 毛发 毛 毛织物 极少量 极短距离
haircut	n.理发 发式
half	n.半 一半 adj.一半的 不完全的 adv.一半地
hall	n.门厅 过道 会堂 礼堂
halt	vi.停止 立定 跛行 犹豫 畏缩 vt.使...停止 n.停住 adj.瘸的
hamburger	n.汉堡包 牛肉饼
hammer	n.锤 榔头 vt.锤击 锤打 严厉批评 vi.锤击 反复敲打
hand	n.手 人手 指针 掌握 协助 vt.帮助 给 adv.手动地 人工地
handful	n.一把 少数 一小撮 棘手之事 【非正式用语】 难以控制的人或费劲的事
handkerchief	n.手帕 方头巾 围巾
handle	n.柄 把手 vt.拿 触 买卖 处理 操作 vi.驾驭
handsome	adj.英俊的 慷慨大方的 可观的 灵巧的 相当大的
handwriting	n.笔迹 手迹 书法
handy	adj.手边的 方便的 便于使用的
hang	vt.挂 悬 吊死 悬挂方式 vt.(hanged hanged)悬挂 绞死 vi.(使)低垂 悬浮(在空中) 逗留
happen	vi.发生 碰巧 恰好 出现 偶然遇到
happiness	n.幸福 幸运 快乐 适当
happy	adj.快乐的 幸福的 乐于做某事
harbour	n.海港 港口 vt.庇护 停泊
hard	adj.硬的 困难的 艰难的 苛刻的 adv.努力地 猛烈地 坚定地
harden	vt.使变硬 (使)坚强 vi.变硬
hardly	ad.几乎不 简直不

单词	释义
hardship	n.艰难 困苦
hardware	n.五金器具 (计算机)硬件
hare	n.野兔
harm	n.伤害 损害 vt.伤害 损害
harmful	adj.有害的
harmony	n.调合 协调 和谐 和弦 和睦
harness	vt.治理 束以马具 披上甲胄 利用(产生动力) n.马具 挽具 系在身上的绳子 甲胄
harsh	adj.严厉的 刺耳的 粗糙的 使人不舒服的 大约的
harvest	n.收获(期) 成果 收获物 收成 vt. & vi.收割 收获
haste	n.急速 急忙 草率 v.匆忙 赶快 vi.赶紧 赶快
hasten	vt.催促 赶快 急忙 vi.赶紧 赶快 急忙
hasty	adj.急速的 仓促的 匆匆的 轻率的 急忙的
hat	n.帽子(一般指有边的) 职位 vt.给...戴帽子 vi.提供帽子
hatch	vt.孵出 vi.(蛋)孵化 破壳 n.孵化 舱口
hate	vt.恨 憎恨 不喜欢 不愿 vi.表示憎恨 n.憎恨 厌恶 厌恶的人或事
hateful	adj.可恨的 可恶的
hatred	n.憎恶 憎恨 仇恨
have	v.aux.已经 曾经 vt.有 吃 从事 得到 雇用 享有 允许
hawk	n.鹰 隼 掠夺别人的人 鹰派人物 清嗓 v.用训好的鹰捕猎 像鹰一般地袭击 鹰啸 清嗓 沿街叫卖
hay	n.干草
hazard	n.危险 危害 公害 冒险 vt.冒险 赌运气
he	pron.(主格)他
head	n.头 头脑 领袖 冷静 硬币 正面 顶端 上端 高潮 vt. & vi.率领 为首 朝向 前进 超过 起源 adj.首要的 前面的
headache	n.头痛 头痛的事
heading	n.标题 题词 题名 航向 动词head的现在分词
headline	n.(pl.)新闻提要 大字标题
headmaster	n.(中小学的)校长
headquarters	n.司令部 指挥部 总部
heal	vt.治愈 使和解 痊愈 恢复 vi.痊愈
health	n.健康 健康状况 卫生 保健
healthy	adj.健康的 有益健康的
heap	n.(一)堆 大量 许多 累积 vt.使成堆 装满 [计算机] 堆
hear	vt. & vi.听见 审讯 听说 听到 得知 倾听 听证
heart	n.心 内心 中心 要点 红桃 勇气
heat	n.热 炎热 热度 高潮 激动 激烈程度 辛辣 警察 vi.变热 变暖 因热变质 vt.使...变热
heating	n.加热 供暖 暖气装置 adj.加热的 供暖的 动词heat的现在分词
heaven	n.天堂 天 天空
heavily	adv.重重地 很重地 沉重地 沉闷地 大量地
heavy	adj.重的 大(量)的 充满的 激烈的 难消化的 费力的 沉闷的 adv.密集地 n.悲剧角色

单词	释义
hedge	n. 篱笆 树篱 障碍物 防止财产损失的方法 vt. 包围 限制vi. 种树篱 拐弯抹角 保护自己不受财产损失adj. 树篱的 篱笆边的
heel	n.脚后跟 踵 后跟 v.倾侧
height	n.高 高度 高处 身高 最高峰 极点
heir	n.后嗣 继承人
helicopter	n.直升机
hell	n.地狱 极大的痛苦
hello	int.喂 n.(见面打招呼或打电话用语)喂 哈罗
helmet	n.头盔 钢盔 遮阳帽 甲
help	vt. & vi.帮助 援助 改善 n.帮手 帮助 援助
helpful	adj.给予帮助的 有用的 有益的
helpless	adj.无助的 无能的 无依靠的
hen	n.母鸡 雌禽
hence	ad.因此 从此 所以 今后
her	pron.(宾格)她 她的 adj.她的 abbr.=heraldry
herd	n.兽群 牧群 人群 牧人 vt.放牧 群集 使...成群 vi.聚在一起
here	adv.这里 向这里 adj.表示强调 n.这里
hero	n.男主角 英雄 勇士
heroic	adj.英雄的 英勇的 巨大的
heroine	n.女主角 女英雄
hers	pron.她的(所有物)
herself	pron.她自己 她亲自
hesitate	vi.犹豫 踌躇 含糊 停顿 口吃 迟疑 vt.用犹疑的态度表示
hi	ini.嗨(表示问候等) 引人注意时的喊声 打招呼
hide	vt. & vi.把...藏起来 隐瞒 遮避 鞭打 n.兽皮 生活富足度
high	adj.高的 高级的 轻微变质的 高尚的 严重的 强的 adv.高 好n.高地 天堂 高气压 高度 兴奋
highly	adv.高度地 很 非常
highway	n.公路 大路 (水陆空)直接航线或路线
hill	n.小ft 小堆 斜坡 ft岗 丘陵 vt.堆起 培土
hillside	n.(小ft)ft腰 ft坡
him	pron.(宾格)他
himself	pron.他自己 他亲自
hint	n.暗示 提示 示意 建议 小部分 vt. & vi.暗示 示意
hire	vt.租借 雇请 出租 n.租用 雇用 租用
his	pron.他的 他的东西
historical	adj.历史的 有关历史的
history	n.历史 个人经历
hit	vt. 打(击) 碰撞 偶然发现 要求 符合 vi. 打(击) 袭击 达到n. 打(击) 冲撞 讽刺 成功.一次毒品的剂量 点击量
hobby	n.业余爱好 癖好
hold	vt.拿住 掌握 拥有 持有 举行 n.把握 控制 支撑点 延误 n.船舱
hole	n.洞 孔眼 裂开处 穴 vt. & vi.挖洞 掘坑 进洞
holiday	n.假日 节日 假期 vi.度假

单词	释义
hollow	adj. 空的 空洞的 虚伪的 空腹的 vt. 形成空洞 挖空 vi. 形成空洞 adv. 有闷哑声 完全地 n. 洞 窟窿 ft谷
holy	adj.神圣的 圣洁的 令人敬仰的
home	n.家 家乡 住所 国内的 养老院 adj.家庭的 家(乡)的 adv.回家 在家 正确的方向 vt. 提供住处 vi. 回家 移向
honest	adj.诚实的 可敬的 正直的 adv.老实说
honesty	n.诚实 正直
honey	n.蜜 (复数)蜂蜜 甜 甜蜜 宝贝 爱人 adj. 蜂蜜似的 深爱的vt.加蜜使甜 对...说甜言蜜语 vi.说甜言蜜语 奉承
honeymoon	n.蜜月 vi.度蜜月
honour	n.光荣 尊敬 敬意 荣誉 荣幸 头衔 vt.尊敬 信守承诺 方形舞中鞠躬致敬
honourable	adj.诚实的 光荣的 荣誉的 可敬的 体面的 =honorable(美)
hook	n.钩 挂钩 钩子 钩拳 vt. & vi.钩住
hope	n. &vt. &vi.希望 abbr.=Health Opportunity for People Everywhere世界健康基金会
hopeful	adj.有希望的
hopeless	adj.没有希望的 绝望的 无可救药的
horizon	n.地平线 眼界 见识 视野
horizontal	adj.地平的 水平的 横的 n.水平线 水平面
horn	n.号角 警报器 角 动物角 喇叭 触角 角状物 力量源泉
horror	n.恐怖 战栗 憎恶 厌恶 adj.恐怖的 令人毛骨悚然的
horse	n.马 马科动物 vt.骑马 adj.马的
horsepower	n.马力(功率单位)
hospital	n.医院
host	n.主人 东道主 军队 大量 主人 主持人 主机 vt.主持 做东 vi.聚集
hostess	n.女主人 空姐
hostile	adj.敌方的 不友善的 怀敌意的
hot	adj.热的 热情的 刺激的 辣的 性感的 adv.激动地 快速地 n.最高温度 滚烫的东西
hotel	n.旅馆 宾馆 酒店 饭店
hour	n.小时 时间 时刻 钟点
house	n.房屋 住宅 商号 全家人 议院 vt.提供住 安置 收容 vi.居住 躲避
household	n.家庭 户 家务 adj.家庭的 家喻户晓的
housewife	n.家庭主妇 针线盒
how	adv.如何 怎么 怎样 多少 conj.如何 怎样 以...方式 n.方式
however	adv.然而 不管怎样conj.然而 可是 不过
huge	adj.巨大的 庞大的 程度高的
human	adj.人的 人类的 n.人
humble	adj.谦逊的 地位低下的 卑下的 粗陋的 vt.使...卑下 贬低
humid	adj.湿的 湿气重的 潮湿的
humorous	adj.富于幽默的 诙谐的
humour	n.幽默 诙谐 幽默感 体液 vi.纵容 迁就 =humor(美)
